Time [HH:MM:SS],X [m],Y [m],Z [m]
17:07:49.9859433,13.705138,14.659971,0.105306
17:07:49.9959431,13.705138,14.659970,0.105306
17:07:50.0059436,13.705136,14.659969,0.105309
17:07:50.0159433,13.705136,14.659969,0.105310
17:07:50.0259431,13.705137,14.659972,0.105310
17:07:50.0359430,13.705137,14.659973,0.105310
17:07:50.0459435,13.705139,14.659974,0.105309
17:07:50.0559433,13.705139,14.659973,0.105307
17:07:50.0659430,13.705140,14.659972,0.105304
17:07:50.0759435,13.705141,14.659971,0.105302
17:07:50.0859432,13.705142,14.659970,0.105302
17:07:50.0959432,13.705141,14.659969,0.105304
17:07:50.1059430,13.705140,14.659969,0.105308
17:07:50.1159435,13.705140,14.659970,0.105308
17:07:50.1259432,13.705140,14.659972,0.105308
17:07:50.1359430,13.705141,14.659974,0.105306
17:07:50.1459437,13.705141,14.659972,0.105304
17:07:50.1559434,13.705142,14.659972,0.105303
17:07:50.1659432,13.705141,14.659971,0.105303
17:07:50.1759429,13.705139,14.659968,0.105305
17:07:50.1859434,13.705138,14.659967,0.105307
17:07:50.1959431,13.705138,14.659969,0.105308
17:07:50.2059431,13.705138,14.659972,0.105310
17:07:50.2159436,13.705137,14.659972,0.105310
17:07:50.2259433,13.705138,14.659974,0.105308
17:07:50.2359431,13.705140,14.659974,0.105305
17:07:50.2459428,13.705139,14.659971,0.105304
17:07:50.2559436,13.705139,14.659971,0.105305
17:07:50.2659433,13.705137,14.659969,0.105307
17:07:50.2759431,13.705137,14.659969,0.105308
17:07:50.2859435,13.705136,14.659970,0.105309
17:07:50.2959433,13.705137,14.659971,0.105309
17:07:50.3059433,13.705138,14.659974,0.105309
17:07:50.3159430,13.705137,14.659973,0.105308
17:07:50.3259435,13.705139,14.659974,0.105306
17:07:50.3359432,13.705139,14.659973,0.105306
17:07:50.3459430,13.705138,14.659970,0.105306
17:07:50.3559435,13.705137,14.659969,0.105307
17:07:50.3659435,13.705137,14.659968,0.105308
17:07:50.3759432,13.705137,14.659971,0.105309
17:07:50.3859430,13.705137,14.659971,0.105310
17:07:50.3959434,13.705137,14.659973,0.105310
17:07:50.4059432,13.705138,14.659975,0.105309
17:07:50.4159432,13.705139,14.659974,0.105306
17:07:50.4259436,13.705140,14.659972,0.105304
17:07:50.4359434,13.705139,14.659970,0.105303
17:07:50.4459431,13.705139,14.659969,0.105304
17:07:50.4559429,13.705137,14.659968,0.105308
17:07:50.4659434,13.705137,14.659970,0.105310
17:07:50.4759433,13.705138,14.659972,0.105310
17:07:50.4859431,13.705139,14.659973,0.105307
17:07:50.4959436,13.705140,14.659975,0.105305
17:07:50.5059433,13.705140,14.659975,0.105304
17:07:50.5159431,13.705139,14.659973,0.105305
17:07:50.5259431,13.705139,14.659970,0.105305
17:07:50.5359435,13.705138,14.659967,0.105306
17:07:50.5459433,13.705139,14.659969,0.105305
17:07:50.5559430,13.705138,14.659968,0.105306
17:07:50.5659435,13.705138,14.659972,0.105307
17:07:50.5759432,13.705138,14.659972,0.105308
17:07:50.5859432,13.705138,14.659975,0.105308
17:07:50.5959430,13.705139,14.659973,0.105306
17:07:50.6059435,13.705140,14.659972,0.105303
17:07:50.6159432,13.705140,14.659970,0.105303
17:07:50.6259430,13.705139,14.659966,0.105304
17:07:50.6359434,13.705138,14.659967,0.105306
17:07:50.6459434,13.705137,14.659968,0.105307
17:07:50.6559432,13.705138,14.659972,0.105307
17:07:50.6659429,13.705139,14.659973,0.105307
17:07:50.6759434,13.705139,14.659975,0.105306
17:07:50.6859431,13.705139,14.659975,0.105306
17:07:50.6959431,13.705138,14.659973,0.105307
17:07:50.7059436,13.705137,14.659970,0.105307
17:07:50.7159434,13.705138,14.659969,0.105305
17:07:50.7259431,13.705139,14.659969,0.105304
17:07:50.7359429,13.705138,14.659968,0.105305
17:07:50.7459436,13.705138,14.659972,0.105307
17:07:50.7559433,13.705137,14.659973,0.105309
17:07:50.7659431,13.705138,14.659975,0.105308
17:07:50.7759435,13.705138,14.659974,0.105307
17:07:50.7859433,13.705139,14.659974,0.105305
17:07:50.7959430,13.705140,14.659972,0.105304
17:07:50.8059430,13.705138,14.659969,0.105305
17:07:50.8159435,13.705138,14.659968,0.105305
17:07:50.8259432,13.705140,14.659971,0.105304
17:07:50.8359430,13.705139,14.659973,0.105305
