Time [HH:MM:SS],X [m],Y [m],Z [m]
17:10:23.7124915,13.700671,14.756141,0.104970
17:10:23.7224915,13.700670,14.756139,0.104971
17:10:23.7324913,13.700670,14.756140,0.104972
17:10:23.7424917,13.700669,14.756139,0.104974
17:10:23.7524915,13.700669,14.756141,0.104975
17:10:23.7624912,13.700669,14.756144,0.104976
17:10:23.7724912,13.700671,14.756144,0.104974
17:10:23.7824917,13.700671,14.756144,0.104972
17:10:23.7924914,13.700672,14.756143,0.104970
17:10:23.8024912,13.700672,14.756142,0.104970
17:10:23.8124917,13.700671,14.756140,0.104970
17:10:23.8224914,13.700671,14.756140,0.104971
17:10:23.8324914,13.700669,14.756141,0.104974
17:10:23.8424912,13.700669,14.756142,0.104975
17:10:23.8524916,13.700670,14.756144,0.104974
17:10:23.8624914,13.700672,14.756146,0.104973
17:10:23.8724911,13.700672,14.756145,0.104972
17:10:23.8824916,13.700672,14.756145,0.104971
17:10:23.8924916,13.700672,14.756142,0.104971
17:10:23.9024913,13.700671,14.756140,0.104971
17:10:23.9124911,13.700671,14.756140,0.104971
17:10:23.9224916,13.700671,14.756141,0.104972
17:10:23.9324913,13.700670,14.756143,0.104973
17:10:23.9424913,13.700672,14.756146,0.104973
17:10:23.9524918,13.700671,14.756146,0.104973
17:10:23.9624915,13.700672,14.756147,0.104973
17:10:23.9724913,13.700672,14.756146,0.104973
17:10:23.9824910,13.700673,14.756144,0.104971
17:10:23.9924915,13.700670,14.756140,0.104972
17:10:24.0024915,13.700670,14.756140,0.104973
17:10:24.0124912,13.700671,14.756143,0.104972
17:10:24.0224917,13.700671,14.756145,0.104972
17:10:24.0324915,13.700670,14.756145,0.104974
17:10:24.0424912,13.700671,14.756148,0.104974
17:10:24.0524912,13.700672,14.756149,0.104973
17:10:24.0624917,13.700671,14.756147,0.104974
17:10:24.0724914,13.700671,14.756146,0.104974
17:10:24.0824912,13.700671,14.756144,0.104973
17:10:24.0924916,13.700671,14.756143,0.104972
17:10:24.1024914,13.700651,14.756169,0.104993
17:10:24.1124914,13.700677,14.756169,0.104971
17:10:24.1224911,13.700692,14.756136,0.104977
17:10:24.1324916,13.700715,14.756049,0.104987
17:10:24.1424913,13.700743,14.755899,0.104982
17:10:24.1524911,13.700753,14.755776,0.104984
17:10:24.1624918,13.700771,14.755700,0.104985
17:10:24.1724916,13.700793,14.755530,0.105016
17:10:24.1824913,13.700844,14.755047,0.105038
17:10:24.1924911,13.700947,14.754151,0.105021
17:10:24.2024915,13.701080,14.752969,0.104988
17:10:24.2124915,13.701199,14.751692,0.104984
17:10:24.2224913,13.701254,14.750417,0.105019
17:10:24.2324917,13.701227,14.749148,0.105058
17:10:24.2424915,13.701152,14.747851,0.105077
17:10:24.2524912,13.701037,14.746526,0.105090
17:10:24.2624910,13.700944,14.745188,0.105058
17:10:24.2724917,13.700840,14.743833,0.105044
17:10:24.2824915,13.700651,14.742377,0.105044
17:10:24.2924912,13.700481,14.740702,0.105045
17:10:24.3024917,13.700414,14.738817,0.105040
17:10:24.3124914,13.700416,14.736815,0.105039
17:10:24.3224914,13.700473,14.734763,0.105036
17:10:24.3324912,13.700652,14.732687,0.105036
17:10:24.3424916,13.700900,14.730539,0.105042
17:10:24.3524914,13.701158,14.728348,0.105029
17:10:24.3624911,13.701410,14.726122,0.105022
17:10:24.3724916,13.701676,14.723902,0.105023
17:10:24.3824916,13.701930,14.721654,0.105026
17:10:24.3924913,13.702105,14.719364,0.105057
17:10:24.4024911,13.702250,14.717013,0.105066
17:10:24.4124916,13.702406,14.714577,0.105082
17:10:24.4224913,13.702527,14.712086,0.105099
17:10:24.4324913,13.702675,14.709552,0.105119
17:10:24.4424918,13.702871,14.706973,0.105133
17:10:24.4524915,13.703110,14.704327,0.105121
17:10:24.4624913,13.703309,14.701667,0.105143
17:10:24.4724910,13.703462,14.698988,0.105159
17:10:24.4824915,13.703604,14.696281,0.105239
17:10:24.4924915,13.703732,14.693556,0.105211
17:10:24.5024912,13.703816,14.690827,0.105204
17:10:24.5124917,13.703877,14.688016,0.105224
17:10:24.5224915,13.703926,14.685103,0.105242
17:10:24.5324912,13.703983,14.682142,0.105269
17:10:24.5424912,13.704075,14.679111,0.105287
17:10:24.5524917,13.704155,14.676067,0.105292
17:10:24.5624914,13.704265,14.673058,0.105316
17:10:24.5724912,13.704431,14.670093,0.105297
17:10:24.5824916,13.704622,14.667179,0.105352
17:10:24.5924914,13.704839,14.664312,0.105345
17:10:24.6024914,13.705133,14.661433,0.105366
17:10:24.6124911,13.705394,14.658575,0.105360
17:10:24.6224916,13.705737,14.655668,0.105395
17:10:24.6324914,13.706103,14.652693,0.105361
17:10:24.6424911,13.706464,14.649634,0.105393
17:10:24.6524918,13.706763,14.646552,0.105400
17:10:24.6624916,13.706943,14.643413,0.105498
17:10:24.6724913,13.707080,14.640288,0.105441
17:10:24.6824911,13.707186,14.637155,0.105462
17:10:24.6924915,13.707187,14.634000,0.105460
17:10:24.7024913,13.707094,14.630780,0.105519
